verb,query,verb_translation,query_translation,notes
soak,soaking up the sun ,tomar,tomar el sol,
soak,soaking in a bath ,empapar,empapar en la bañera,
soak,soaking up the sunshine ,tomar,tomar los rayos the sol,
soak,soak in the tub ,empapar,empapar en la tina,
soak,soaking the beans ,remojar,remojar las judías,
soak,soaking in rain ,mojar,mojar en la lluvia,
soak,soaking clothes in bucket ,remojar,remojar ropa en el cubo,
soak,soaking feet ,mojar,mojar los pies,
soak,soaking fingers ,mojar,mojar los dedos,
soak,soaking sponge ,empapar,empapar la esponja,
hang,hanging from a tree ,colgar,colgar de un árbol,
hang,hanging from the ceiling ,colgar,colgar del techo,
hang,hanging a painting ,colgar,colgar un cuadro,
hang,hanging in a closet ,colgar,colgar en un armario,
hang,hanging a man ,ahorcar,ahorcar a un hombre,
hang,hanging a woman ,ahorcar,ahorcar a una mujer,
hang,hanging body ,colgar,cuerpo colgante,"Only way to make the sentence sound right was using the verb in ""gerundio"" form"
hang,meat hanging ,colgar,carne colgando,
hang,hanging in the closet ,colgar,colgar en el armario,
hang,hang up the phone ,colgar,colgar el teléfono,
hang,hanging from a hook ,colgar,colgar de un gancho,
hang,hanging out in park ,pasar el rato,pasar el rato en el parque,"There is no direct translation for this, I think"
hang,hanging out at bar ,pasar el rato,pasar el rato en el bar,"There is no direct translation for this, I think"
hang,tongue hanging out ,sacar,sacar la lengua,
hang,hang the wallpaper ,colgar,colgar el papel para empapelar,
hang,hanging clothes ,tender,tender la ropa,
hang,hanging laundry ,tender,tender la colada,
fix,fixing dinner ,hacer ,hacer la cena,
fix,fixing lunch ,hacer ,hacer la comida,
fix,fixing a bulb ,reparar,reparar la bombilla,
fix,fixing light bulb ,reparar,reparar la bombilla,
fix,fixing bicycle ,reparar,reparar la bicicleta,
fix,fixing the road ,reparar,reparar la carretera,
fix,fixing a tent ,reparar,reparar la tienda,
fix,fixing hair ,arreglar,arreglar el pelo,
fix,fixing dress ,reparar,reparar el vestido,
fix,fixing a tire ,reparar ,reparar un neumático,
fix,fixing a ceiling ,reparar,reparar un tejado,
ride,riding a bicycle ,montar,montar una bicicleta,
ride,riding a train ,subir,subir a un tren,
ride,riding the subway ,ir,ir en metro,
ride,rifing on a bull ,montar,montar un toro,
ride,riding a horse ,montar,montar a caballo,
ride,riding a camel ,montar,montar un camello,
ride,riding on a bull ,montar,montar un toro,
ride,riding in a carriage ,ir,ir en carruaje,
ride,riding a wave ,montar,montar la ola,
ride,child riding on shoulders ,subir,subir a los hombros,
ride,child riding piggyback ,subir,subir a caballito,
ride,riding a motorcycle ,ir,ir en moto,
ride,riding on broomstick ,montar,montar la escoba,
ride,riding a cab ,ir,ir en taxi,
ride,riding a tricycle ,montar,montar en triciclo,
ride,riding a skateboard ,ir,ir en monopatín,
ride,riding bus ,ir,ir en autobús,
ride,riding a boat ,ir,ir en barco,
ride,riding a snowmobile ,montar,montar una moto de nieve,
catch,bird catching fish ,pescar,pájaro pescando un pez,"Only way to make the sentence sound right was using the verb in ""gerundio"" form"
catch,bear catching fish ,pescar,oso pescando un pez,"Only way to make the sentence sound right was using the verb in ""gerundio"" form"
catch,dog catching a ball ,atrapar,perro atrapando la bola,"Only way to make the sentence sound right was using the verb in ""gerundio"" form (I´ll ommit this comment in the future)"
catch,catching a football ,coger,coger la pelota,
catch,catching a train ,coger,coger el tren,
catch,catching a bus ,coger,coger el autobús,
catch,house caught on fire ,prender,la casa prendió en llamas,
catch,caught fire ,prender,prendió en llamas,
catch,catching bouquet ,coger,coger el ramo,
catch,caught shoplifting ,pillar,pillado robando,
catch,police cathing a thief ,atrapar,la policía atrapa un ladrón,
dust,dusting cake ,espolvorear ,espolvorear una tarta,
dust,dusting hands ,sacudir,sacudir las manos,
dust,dusting furniture ,limpiar el polvo,limpiar el polvo de los muebles,"There is no direct translation for this, I think"
dust,dusting screen ,limpiar el polvo,limpiar el polvo de la pantalla,"There is no direct translation for this, I think"
dust,dusting kitchen ,limpiar el polvo,limpiar el polvo de la cocina,"There is no direct translation for this, I think"
dust,dusting for evidence ,eliminar,eliminar las pruebas,Not sure of meaning of English sentence
dust,dusting pies with sugar ,espolvorear ,espolvorear pasteles con azúcar,
dust,dusting floor ,barrer,barrer el piso,
drive,driving a herd ,dirigir,dirigir una manada,
drive,driving a herd of sheep ,dirigir,dirigir una manada de ovejas,
drive,driving a car ,conducir,conducir un coche,
drive,driving a motorcycle ,conducir,conducir una moto,
drive,driving a wagon ,conducir,conducir un vagón,
drive,driving a ball ,conducir,conducir la pelota,
drive,driving a truck ,conducir,conducir el camión,
drive,driving a vehicle ,conducir,conducir el vehículo,
drive,driving a herd of camels ,dirigir,dirigir una manada de camellos,
place,placing order in restaurant ,pedir,pedir en un restaurante,
place,placing a call ,hacer ,hacer una llamada,
place,placing a bet ,hacer ,hacer una apuesta,
place,placing in the oven ,poner,poner en el horno,
place,placing concrete ,colocar,colocar cemento,
place,placing the flowers ,colocar,colocar las flores,
place,placing glass on table ,poner,poner cristal sobre la mesa,
place,placing food in fridge ,poner,poner comida en la nevera,
place,placing flowers on grave ,poner,poner flores en la tumba,
place,placing flowers in vase ,poner,poner flores en un florero,
place,placing a ring ,poner,poner un anillo,
mend,mending shoes ,arreglar,arreglar zapatos,
mend,mending clothes ,arreglar,arreglar ropa,
mend,mending fence ,reparar,reparar verja,
mend,mending bicycle ,reparar,reparar bicicleta,
mend,mending jeans ,arreglar,arreglar vaqueros,
mend,mending rock ,restaurar,restaurar roca,
mend,mending car,reparar ,reparar coche,
mend,mending nets ,reparar,reparar redes,
mend,mending roof ,reparar,reparar techo,
dive,diving under sea ,bucear,bucear bajo el mar,
dive,diving into air ,tirar,tirarse al aire,
dive,diving into field ,tirar,tirarse al campo,
dive,diving off cliff ,caer,caer de un acantilado,
dive,diving into valley ,tirar,tirarse al valle,
dive,diving from sky ,caer,caer del cielo,
dive,diving into pool ,tirar,tirarse a la piscina,
dive,birds diving ,zambullir,pájaros zambulliéndose,
block,blocking the streets ,bloquear,bloquear las calles,
block,block the path ,cortar,cortar el paso,
block,block the wind ,tapar,tapar el viento,
block,block the view ,tapar,tapar la vista,
block,block the basketball shot ,taponar,taponar el tiro de baloncesto,
block,animals blocking the road ,animales,animales cortando la carretera,
block,blocking the face with hand ,tapar,taparse la cara con la mano,
block,blocking the ears ,tapar,taparse los oidos,
block,blocking a football player with the hand ,obstruir,obstruir un jugador de fútbol con la mano,
block,blocking an opponent in boxing ,bloquear,bloquear a un contrincante en boxeo,
eat,eating an apple ,comer,comer una manzana,
eat,eating soup ,comer,comer sopa,
eat,eating pasta ,comer,comer pasta,
eat,eating dinner with family ,cenar,cenar con la familia,
eat,eating sandwich ,comer,comer un sándwich,
eat,eating like a pig ,comer,comer como un cerdo,
eat,dogs eating ,comer,perros comiendo,
eat,eating grass ,comer,comer hierba,
eat,eating with chopsticks ,comer,comer con palillos,
check,checking out ,verificar,verificar,
check,checking his watch ,comprobar,comprobar su reloj,
check,checking time ,mirar,mirar la hora,
check,checking makeup ,comprobar,comprobar el maquillaje,
check,checking height ,verificar,verificar la altura,
check,checking fever ,comprobar,comprobar la fiebre,
check,doctor checking patient ,revisar,doctor revisando al paciente,
check,checking messages ,mirar,mirar los mensajes,
check,checking tire ,revisar,revisar los neumáticos,
check,checking the map ,mirar ,mirar el mapa,
check,checking for injuries ,revisar,revisar si  hay lesiones,
check,checking off boxes ,marcar,marcar el casillero,
check,checking off list ,tachar,tachar de la lista,
check,checking bags for security ,comprobar,comprobar bolsas por seguridad,
whip,whipping eggs ,batir,batir huevos,
whip,whipping a horse ,azotar,azotar a un caballo,
whip,whipping a man ,azotar,azotar a un hombre,
whip,whipping a woman ,azotar,azotar a una mujer,
whip,whiping a student ,azotar ,azotar a un estudiante,
whip,whipping in the wind ,batir,batir en el viento,
whip,whipping cream with whisk ,batir ,batir la nata con una batidora,
change,changing clothes ,cambiar,cambiar de ropa,
change,changing diaper ,cambiar,cambiar el pañal,
change,car changing lanes ,cambiar,coche cambiando de carril,
change,changing money ,cambiar,cambiar dinero,
change,changing sheets ,cambiar,cambiar las sábanas,
change,changing car gears ,cambiar,cambiar de marcha,
wait,waiting in the line ,hacer ,hacer cola,
wait,waiting at the gate ,esperar,esperar en la puerta,
wait,waiting for cab ,esperar,esperar a un taxi,
wait,server waiting in a restaurant ,esperar,camarero esperando en un restaurante,
wait,waiting for the call ,esperar,esperar la llamada,
wait,waiting for food ,esperar,esperar la comida,
wait,waiting for someone at airport ,recoger,recoger a alguien en el aeropuerto,
wait,waiting for a ride ,hacer ,hacer cola para la atracción,
wait,waiting at the door ,esperar,esperar en la puerta,
wait,waiting for the bus ,esperar,esperar al autobús,
wait,people waiting in queue ,hacer ,gente haciendo cola,
strike,boxer striking on face ,golpear,boxeador golpeando en la cara,
strike,boxer striking in pit ,golpear,boxeador golpeando en la boca,
strike,striking a ball ,golpear,golpear la pelota,
strike,striking a baseball ,golpear,golpear la pelota de béisbol ,
strike,striking a snooker ball ,golpear,golpear la bola de billar,
strike,jockey striking in polo ,golpear,jinete golpeando en polo,
strike,striking for wages ,hacer huelga,haciendo huelga por los salarios,
strike,workers striking on street ,hacer huelga,trabajadores haciendo huelga en la calle,
strike,striking for independence ,hacer huelga,hacer huelga por la independencia,
strike,striking a match ,encender,encender una cerilla,
strike,striking a light thunderstorm ,caer,caer una tormenta de rayos,
mount,mount on stairs ,subir,subir las escaleras,
mount,mounting on a horse ,montar,montar a caballo,
mount,man mounting a ladder ,subir,hombre subiendo una escalera de mano,
mount,riders mounting on elephant ,montar ,jinetes montando en elefante,
mount,mounting an elephant ,montar,montar en un elefante,
mount,horse mounting a mare ,fecundar,caballo fecundando a una hembra,
mount,bull mounting a cow ,fecundar,toro fecundando a una vaca,
read,reading a poem to audience ,leer,leer un poema al público,
read,reading a story to children ,leer,leer una historia a los niños,
read,reading out loud,leer,leer en voz alta,
read,reading a book ,leer,leer un libro,
read,reading messages on phone ,leer,leer mensajes en el teléfono,
read,reading at university ,leer,leer en la universidad,
read,reading bible ,leer,leer la biblia,
read,reading from laptop ,leer,leer del portátil,
read,doctor reading files ,leer,doctor leyendo documentos,
read,engineer reading blueprint ,leer,ingeniero leyendo el proyecto original,
read,reading a manual ,leer,leer un manual,
talk,talking to audience ,hablar,hablar al público,
talk,talking to friend ,hablar,hablar a un amigo,
talk,talking to each other ,hablar,hablar el uno con el otro,
talk,talking at conference ,presentar,presentar en una conferencia,
talk,talking baby ,hablar,bebé hablante,
lock,locking the door ,cerrar,cerrar la puerta,
lock,locking the gate ,cerrar ,cerrar la puerta,
lock,locking the car ,cerrar,cerrar el coche,
lock,locking bicycle ,encadenar,encadenar la bicicleta,
lock,locking up in jail ,encerrar,encerrar en la cárcel,
lock,locked in cell ,encerrar ,encerrar en la celda,
lock,locking arms ,entrelazar,entrelazar los brazos,
lock,locking the horns ,enfrentarse,enfrentarse,
lock,locking lips ,besar,besar,
lock,locking eyes ,cruzar,cruzar miradas,
climb,climbing a mountain ,escalar,escalar una montaña,
climb,climbing a tree ,subir,subir a un árbol,
climb,climbing rocks ,escalar,escalar rocas,
climb,climbing a wall ,subir,subir a un muro,
climb,climbing up stairs ,subir,subir las escaleras,
climb,climbing up ladder ,subir,subir la escalera de mano,
climb,climbing a fence ,trepar,trepar la verja,
climb,climbing a rope ,trepar,trepar por la cuerda,
climb,climbing a cage ,subir,subir a una jaula,
climb,climbing up hill ,subir,subir cuesta arriba,
climb,climbing the gate ,trepar,trepar la puerta,
grind,grinding maize ,moler,moler maíz,
grind,grinding corn ,moler,moler maíz,
grind,grinding in mortar ,machacar,machacar en el mortero,
grind,grinding the cane ,moler,moler la caña,
grind,grinding coffee ,moler,moler café,
grind,grinding lenses ,machacar,machacar lentes,
grind,grinding glass ,machacar,machacar cristal,
grind,grinding with pestle ,machacar,machacar con la mano del mortero,
grind,grinding seeds ,moler,moler semillas,
grind,grinding teeth ,rechinar,rechinar los dientes,
grind,grind teeth in sleep ,rechinar,rechinar los dientes durante el sueño,
grind,grinding dance ,pulir,pulir un baile,Not sure of meaning of English sentence
grind,grinding metal ,pulir,pulir un metal,
grind,grinding an axe ,afilar,afilar un hacha,
squeeze,squeezing through door ,escurrir,escurrirse por la puerta,
squeeze,squeezing eyes shut ,apretar,apretar los ojos para cerrarlos,
squeeze,squeezing his arm ,estrujar,estrujar su brazo,
squeeze,squeezing hands ,apretar,apretar las manos,
squeeze,squeezing lotion ,estrujar,estrujar la loción,
squeeze,squeezing lemon ,exprimir,exprimir limón,
squeeze,squeezing through narrow way ,escurrir,escurrirse por un camino estrecho,
squeeze,squeezing a stress ball ,apretar,apretar una pelota antiestrés,
squeeze,man squeezing through the gap ,escurrir,hombre escurriéndose por el hueco,
squeeze,squeezing into a dress ,escurrir,escurrirse en un vestido,
squeeze,squeezing a cloth ,estrujar,estrujar un trapo,
squeeze,squeezing a toothpaste ,estrujar,estrujar una pasta de dientes,
squeeze,squeezing milk from cow ,ordeñar,ordeñar una vaca,
squeeze,squeezing massage ,estrujar,masaje estrujante,
haul,hauling wood ,transportar,transpotar madera,
haul,hauling soil ,transportar,transpotar tierra,
haul,hauling cars ,transportar,transportar coches,
haul,hauling stone ,arrastrar,arrastrar piedras,
haul,hauling oil ,transportar,transportar aceite,
haul,hauling up the stairs ,transportar,transportar escaleras arriba,
haul,elephants hauling logs ,arrastrar,elefantes arrastrando leños,
haul,camels hauling food ,transportar,camellos transportando comida,
haul,horses hauling goods ,transportar,caballos transportando bienes,
haul,donkeys hauling supplies ,transportar,burros transportando suministros,
spin,spinning wool ,hilar,hilar lana,
spin,spinning a bottle ,girar,girar una botella,
spin,spinning a wheel ,girar,girar una rueda,
spin,spinning yarn ,hilar,hilar hilo,
spin,spinning cotton ,hilar,hilar algodón,
spin,metal spinning ,girar,metal girando,
spin,spinning a top ,bailar,bailar la peonza,
spin,spinning a ball ,hacer girar,hacer girar la pelota,
spin,spinning in salsa dance ,girar,girar bailando salsa,
spin,spinning in ballet ,girar,girar en ballet,
spin,spinning a coin ,girar,girar una moneda,
spin,spiders spinning web ,tejer,arañas tejiendo tela de araña,
spin,spinning children ,girar,niños girando,
release,releasing the button ,soltar,soltar el botón,
release,train release the steam ,liberar,tren libera el vapor,
release,releasing prisoners ,liberar,liberar prisioneros,
release,releasing the mouse ,liberar,liberar al ratón,
release,releasing the arrow ,soltar,soltar la flecha,
release,releassing the ball ,soltar,soltar la pelota,
release,releasing a bird ,liberar,liberar a un pájaro,
release,releasing a fish ,soltar,soltar a un pez,
release,releasing balloons ,soltar,soltar globos,
release,releasing bombs ,lanzar,lanzar bombas,
release,releasing sky lanterns ,soltar,soltar linternas volantes,
release,releasing water from dam ,liberar,liberar agua de la presa,
crawl,soldier crawling under the fence ,gatear,soldado gateando bajo la verja,
crawl,crawling along riverbed ,arrastrar,arrastrarse por el cauce del río,
crawl,crawling baby ,gatear,bebé gateando,
crawl,people crawling ,arrastrar,gente arrastrándose,
crawl,insects crawling on leaves ,arrastrar,insectos arrastrándose en las hojas,
crawl,traffic crawls during rush hour ,atascar,atasco en hora punta,
crawl,cheese crawling with maggots ,lleno,queso lleno de gusanos,
crawl,cat crawling under door ,gatear,gato gateando bajo la puerta,
crawl,baby crawling in park ,gatear,bebé gateando en el parque,
crawl,crawling up a mountain ,subir,subir a una montaña,
crawl,people crawling on stairs ,subir,gente subiendo las escaleras,
cover,covering with blanket ,tapar,tapar con manta,
cover,covering mare ,cubrir,cubrir la yegua,
cover,horse covering mare ,cubrir,caballo cubriendo la yegua,
cover,cover head with scarf ,tapar,taparse la cabeza con una bufanda,
cover,covering mouth ,tapar,taparse la boca,
cover,covering ears ,tapar,taparse las orejas,
cover,covering food ,cubrir,cubrir la comida,
cover,backyard covered with snow ,cubrir,patio cubierto de nieve,
cover,covered with flowers ,cubrir,cubierto de flores,
cover,covering eyes ,tapar,tapar los ojos,
drip,drippping with blood ,gotear,goteando sangre,
drip,dripping with dew ,gotear,goteando rocío,
drip,dripping with oil ,gotear,gotear aceite,
drip,dripping massage ,,,
drip,dripping sweat ,gotear,gotear sudor,
drip,dripping chocolate from spoon ,gotear,la cuchara gotea chocolate,
drip,sink dripping ,gotear,el lavabo gotea,
drip,honey dripping ,gotear,la miel gotea,
drip,dripping from the ceiling ,gotear,goteando del techo,
lay,laying eggs ,poner,poner huevos,
lay,laying on bed ,tumbar,tumbarse en la cama,
lay,lay on sofa ,tumbar,tumbarse en el sofá,
lay,laying on ground ,echar,echarse en el suelo,
lay,bird laying eggs ,poner,pájaro poniendo huevos,
lay,laying trap ,preparar,preparar una trampa,
lay,laying foundation ,establecer,establecer un fundamento,
lay,lay fire ,prender,prender un fuego,
lay,laying baby in crib ,colocar,colocar el bebé en la cuna,
lay,laying bricks ,colocar,colocar ladrillos,
lay,lay in the sun ,tomar,tomar el sol,
lay,laying thge cable ,poner,poner el cable,
lay,laying pipes ,poner ,poner los tubos,
lay,laying tiles ,colocar,colocar azulejos,
shake,shaking hands ,dar,dar la mano,
shake,shaking salt ,agitar,agitar la sal,
shake,shaking drinks ,mezclar ,mezclar la bebida,
shake,shaking finger ,acusar, acusar ,
shake,shaking off ,sacudir,sacudir,
shake,shaking head ,mover,mover la cabeza,
shake,shaking box ,sacudir,sacudir la caja,
shake,shaking present ,agitar,agitar el regalo,
shake,shaking fist ,enfadar,enfadarse,
shake,shaking body ,temblar,temblar,
serve,serving food in a restaurant ,servir,servir comida en  un restaurante,
serve,serving tea ,servir,servir té,
serve,serve food at an event ,servir,servir comida en un evento,
serve,serving food to homeless ,servir,servir comida a los sin techo,
serve,serving a tennis ball ,sacar,sacar una pelota de tenis,
serve,serving a volleyball ,sacar,sacar una pelota de voleibol,
serve,stallion serving mare ,fecundar,semental fecundando la yegua,
serve,ox serving cow ,fecundar,buey fecundando a una vaca,
serve,soldier serving in army ,servir,soldado sirviendo en el ejército,
serve,soldier serving in navy ,servir,soldado sirviendo en la marina,
serve,priest serving in church ,servir,sacerdote sirviendo en la iglesia,
serve,serving in the navy ,servir,servir en el ejército,
serve,serve as priest ,trabajar,trabajar como cura,
light,lightinig a cigarette ,encender ,encender un cigarrillo,
light,lighting up smoke ,encender ,encender un cigarrillo,
light,lighting a fire ,prender,prender un fuego,
light,lighting a candle ,encender ,encender una vela,
light,lighting a match ,encender ,encender una cerilla,
light,lighting up the sky ,iluminar,iluminar el cielo,
light,lighting up the room ,iluminar,iluminar la habitación,
light,face lighting up ,iluminar,cara iluminándose,
light,lighting the pyre ,prender,prender la hogera,
light,lighting the torch ,encender ,encender la antorcha,
light,lighting the room ,iluminar,iluminar la habitación,
play,playing musical instrument ,tocar,tocar un instrumento musical,
play,playing flute ,tocar,tocar la flauta,
play,playing piano ,tocar,tocar el piano,
play,children playing ,jugar,niños jugando,
play,children playing with toys ,jugar,niños jugando con juguetes,
play,playing videogame ,jugar,jugar a un videjouego,
play,playing football ,jugar,jugar a fútbol,
play,playing tennis ,jugar ,jugar a tenis,
play,playing chess ,jugar,jugar a ajedrez,
play,people playing card games ,jugar,gente jugando a cartas,
play,band playing music ,tocar,banda tocando música,
